"BUSI_DT","Eng_Prefix","Full_Name","Thai_Prefix","First_Name","Surname","Bank_Name","Position"
"2026-01-15","Ms.","นางสาวขัตติยา อินทรวิชัย","นางสาว","ขัตติยา","อินทรวิชัย","ธนาคารกสิกรไทย","ประธานเจ้าหน้าที่บริหาร"
"2026-01-15","Mr.","นายอดิศร เสริมชัยวงศ์","นาย","อดิศร","เสริมชัยวงศ์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่อาวุโส"
"2026-01-15","Mr.","นายทวี ธีระสุนทรวงศ์","นาย","ทวี","ธีระสุนทรวงศ์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายวัลลภ ว่องจิตต์วุฒิไกร","นาย","วัลลภ","ว่องจิตต์วุฒิไกร","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายภัทรพงศ์ กัณหสุวรรณ","นาย","ภัทรพงศ์","กัณหสุวรรณ","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายสุวัฒน์ เตชะวัฒนวรรณา","นาย","สุวัฒน์","เตชะวัฒนวรรณา","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายดิถีชัย ลิมโปดม","นาย","ดิถีชัย","ลิมโปดม","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายทิพากร สายพัฒนา","นาย","ทิพากร","สายพัฒนา","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายพิภวัตว์ ภัทรนาวิก","นาย","พิภวัตว์","ภัทรนาวิก","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายอัครนันท์ ฐิตสิริวิทย์","นาย","อัครนันท์","ฐิตสิริวิทย์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายปวเรศร์ เชษฐพงศ์พันธุ์","นาย","ปวเรศร์","เชษฐพงศ์พันธุ์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวศันสนา สุขะนันท์","นางสาว","ศันสนา","สุขะนันท์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายชัช เหลืองอาภา","นาย","ชัช","เหลืองอาภา","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Dr.","ดร.เกษชญง สกาวรัตนานนท์","ดร.","เกษชญง","สกาวรัตนานนท์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Dr.","ดร.กรินทร์ บุญเลิศวณิชย์","ดร.","กรินทร์","บุญเลิศวณิชย์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mrs.","นางนิศานาถ อู่วุฒิพงษ์","นาง","นิศานาถ","อู่วุฒิพงษ์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวศรินยา ปิยะวงศ์สมบูรณ์","นางสาว","ศรินยา","ปิยะวงศ์สมบูรณ์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายชลัฐ ศิริพงศ์วุฒิกร","นาย","ชลัฐ","ศิริพงศ์วุฒิกร","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวพัลลภา ศรีสุกใส","นางสาว","พัลลภา","ศรีสุกใส","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2026-01-15","Mr.","นายณัฐพล ลือพร้อมชัย","นาย","ณัฐพล","ลือพร้อมชัย","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
