"BUSI_DT","Prefixed_Name","Full_Name","First_Name","Surname","Bank_Name","Position"
"2025-10-10","Dr","ดร. กรินทร์ บุญเลิศวณิชย์","กรินทร์","บุญเลิศวณิชย์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Dr","ดร. ตรีพล ภูมิวสนะ","ตรีพล","ภูมิวสนะ","ธนาคารกสิกรไทย","ไม่ระบุ"
"2025-10-10","Dr","ดร. ธีรวัฒน์ อัศวโภคี","ธีรวัฒน์","อัศวโภคี","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Dr","ดร. บุริศวร กิตติรังสิ","บุริศวร","กิตติรังสิ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Dr","ดร. พิพัฒน์พงศ์ โปษยานนท์","พิพัฒน์พงศ์","โปษยานนท์","ธนาคารกสิกรไทย","ผู้จัดการใหญ่"
"2025-10-10","Dr","ดร. วิชัย ณรงค์วณิชย์","วิชัย","ณรงค์วณิชย์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Dr","ดร. สรรเพชญ สุขเพสน์","สรรเพชญ","สุขเพสน์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Dr","ดร. เกษชญง สกาวรัตนานนท์","เกษชญง","สกาวรัตนานนท์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Dr","ดร.ดลินี ศาสตระรุจิ","ดลินี","ศาสตระรุจิ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Dr","ดร.บุริศวร์ กิตติรังสิ","บุริศวร์","กิตติรังสิ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Dr","ดร.วราธัช ตันติวรวงศ์","วราธัช","ตันติวรวงศ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Dr","ดร.อนุวรรตน์ ศรีอุดม","อนุวรรตน์","ศรีอุดม","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Dr","ดร.อนุวรรตน์ สตรีอุดม","อนุวรรตน์","สตรีอุดม","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Dr","ดร.อนุวรรตน์ สถิตยุทธ","อนุวรรตน์","สถิตยุทธ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Dr","ดร.อนุวรรตน์ สถิติวรพล","อนุวรรตน์","สถิติวรพล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางกิติยา ฤกษ์ภูริทัต","กิติยา","ฤกษ์ภูริทัต","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางณาตยา สุขุม","ณาตยา","สุขุม","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Mrs","นางนลินรัตน์ ทรรทรานนท์","นลินรัตน์","ทรรทรานนท์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางนิศานาถ อู่วุฒิพงษ์","นิศานาถ","อู่วุฒิพงษ์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Mrs","นางปกเกศ วงศกิตติรักษ์","ปกเกศ","วงศกิตติรักษ์","ธนาคารกสิกรไทย","ไม่ระบุ"
"2025-10-10","Mrs","นางพippi วรรณศิริ","พippi","วรรณศิริ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางพิภาพัณณ์ อรรถวานิช","พิภาพัณณ์","อรรถวานิช","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางพี้ พัณณ์ อรรถวานิช","พี้","พัณณ์ อรรถวานิช","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางภัทราภา หงษ์คำดี","ภัทราภา","หงษ์คำดี","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางมาริสา วättพาณิชย์","มาริสา","วättพาณิชย์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Mrs","นางมาริสา วัตถพาณิชย์","มาริสา","วัตถพาณิชย์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Mrs","นางวราลักษณ์ อภิกุลวณิช","วราลักษณ์","อภิกุลวณิช","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางสาธินี ศรีรัตนพงษ์","สาธินี","ศรีรัตนพงษ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาว ชนกสุดา ชิตรัตน์","ชนกสุดา","ชิตรัตน์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาว ชิพาภัสร์ ศรีนครไทย","ชิพาภัสร์","ศรีนครไทย","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาว นันทิกา ศานสีเกียรติ","นันทิกา","ศานสีเกียรติ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาว สวคนธ์ เมฆาสวัสดิ์","สวคนธ์","เมฆาสวัสดิ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาว สุใจ หาญเชาว์วงศ์","สุใจ","หาญเชาว์วงศ์","ธนาคารกสิกรไทย","ผู้อำนวยการ Business Strategy and Enablement"
"2025-10-10","Ms","นางสาวขัตติยา อินทรวิชัย","ขัตติยา","อินทรวิชัย","ธนาคารกสิกรไทย","ประธานเจ้าหน้าที่บริหาร"
"2025-10-10","Ms","นางสาวจริภรณ์ กิจเจริญไพศาล","จริภรณ์","กิจเจริญไพศาล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวจิตราวิณี วรรณกร","จิตราวิณี","วรรณกร","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวชนกสุดา ชิตรัตน์","ชนกสุดา","ชิตรัตน์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวชิพาภัสร์ ศรีนครไทย","ชิพาภัสร์","ศรีนครไทย","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวชุติมา กิตติบัณฑูร","ชุติมา","กิตติบัณฑูร","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวณัชชา อากาศฤกษ์","ณัชชา","อากาศฤกษ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวนันทิกา ศันสนียเกียรติ","นันทิกา","ศันสนียเกียรติ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวบุญวรงค์ บุณยไวโรจน์","บุญวรงค์","บุณยไวโรจน์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวผกาฉัตร เตชาบูรพานนท์","ผกาฉัตร","เตชาบูรพานนท์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวพัชรี จามนง","พัชรี","จามนง","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวพัชรี จำนง","พัชรี","จำนง","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวพัลลภา ศรีสุกใส","พัลลภา","ศรีสุกใส","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวพัลลภา สリスุกร","พัลลภา","สリスุกร","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวมณฑา วรประสิทธิ์","มณฑา","วรประสิทธิ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวรวีวรรณ มูลทรัพย์","รวีวรรณ","มูลทรัพย์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวร่มฉัตร ทรงศิริ","ร่มฉัตร","ทรงศิริ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาววาสนา สุระกิจ","วาสนา","สุระกิจ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวศรินยา ปิยะวงศ์สมบูรณ์","ศรินยา","ปิยะวงศ์สมบูรณ์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวศันสนา สุขะนันท์","ศันสนา","สุขะนันท์","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวศิริพร สุวรรณการ","ศิริพร","สุวรรณการ","ธนาคารกสิกรไทย","ผู้จัดการใหญ่ (Investment Strategy Head)"
"2025-10-10","Ms","นางสาวศิริพร เริงจิตต์","ศิริพร","เริงจิตต์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวสวคนธ์ เมฆาสวัสดิ์","สวคนธ์","เมฆาสวัสดิ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวหทัยพร เจียมประเสริฐ","หทัยพร","เจียมประเสริฐ","ธนาคารกสิกรไทย","รองผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวอรธิดา บุญเปี่ยมศักดิ์","อรธิดา","บุญเปี่ยมศักดิ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Ms","นางสาวอาภรณ์ ศิริศรีสกุลชัย","อาภรณ์","ศิริศรีสกุลชัย","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางสุนันท์ ศิริอักษร","สุนันท์","ศิริอักษร","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mrs","นางอุษา เกาศล","อุษา","เกาศล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mr","นาย กิตติพงศ์ คุ้มมั่น","กิตติพงศ์","คุ้มมั่น","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mr","นาย กุลวัชร์ พุ่มเทียน","กุลวัชร์","พุ่มเทียน","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mr","นายกำพล สุทธิพิเชษฐ์","กำพล","สุทธิพิเชษฐ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mr","นายกิตติพงศ์ คุ้มมั่น","กิตติพงศ์","คุ้มมั่น","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mr","นายกุลวัชร์ พุ่มเทียน","กุลวัชร์","พุ่มเทียน","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2025-10-10","Mr","นายจงรัก รัตนเพียร","จงรัก","รัตนเพียร","ธนาคารกสิกรไทย","ผู้จัดการใหญ่"
